title,title_pt,author,abstract,abstract_pt
Languages of Games and Play: A Systematic Mapping Study,Linguagens de jogos e brincadeiras: um estudo de mapeamento sistemático,"van Rozen, Riemer","Digital games are a powerful means for creating enticing, beautiful, educational, and often highly addictive interactive experiences that impact the lives of billions of players worldwide. We explore what informs the design and construction of good games to learn how to speed-up game development. In particular, we study to what extent languages, notations, patterns, and tools, can offer experts theoretical foundations, systematic techniques, and practical solutions they need to raise their productivity and improve the quality of games and play. Despite the growing number of publications on this topic there is currently no overview describing the state-of-the-art that relates research areas, goals, and applications. As a result, efforts and successes are often one-off, lessons learned go overlooked, language reuse remains minimal, and opportunities for collaboration and synergy are lost. We present a systematic map that identifies relevant publications and gives an overview of research areas and publication venues. In addition, we categorize research perspectives along common objectives, techniques, and approaches, illustrated by summaries of selected languages. Finally, we distill challenges and opportunities for future research and development.","Os jogos digitais são um meio poderoso para criar experiências interativas atraentes, bonitas, educativas e, muitas vezes, altamente viciantes, que impactam a vida de bilhões de jogadores em todo o mundo. Exploramos o que informa o design e a construção de bons jogos para aprender como acelerar o desenvolvimento de jogos. Em particular, estudamos até que ponto linguagens, notações, padrões e ferramentas podem oferecer aos especialistas fundamentos teóricos, técnicas sistemáticas e soluções práticas de que necessitam para aumentar a sua produtividade e melhorar a qualidade dos jogos e do jogo. Apesar do crescente número de publicações sobre este tema, atualmente não existe uma visão geral que descreva o estado da arte que relacione áreas de pesquisa, objetivos e aplicações. Como resultado, os esforços e os sucessos são muitas vezes pontuais, as lições aprendidas são ignoradas, a reutilização da língua permanece mínima e as oportunidades de colaboração e sinergia são perdidas. Apresentamos um mapa sistemático que identifica publicações relevantes e dá uma visão geral das áreas de pesquisa e locais de publicação. Além disso, categorizamos as perspectivas de pesquisa de acordo com objetivos, técnicas e abordagens comuns, ilustradas por resumos de idiomas selecionados. Finalmente, destilamos desafios e oportunidades para futuras pesquisas e desenvolvimento."
ICPE '24: Proceedings of the 15th ACM/SPEC International Conference on Performance Engineering,ICPE '24: Anais da 15ª Conferência Internacional ACM/SPEC sobre Engenharia de Desempenho,,"Years of planning have gone into preparing for ICPE 2024 in London, UK. For the first time in UK, the organization of ICPE has generated a great deal of excitement and expectation of productive interactions between the usual participants of ICPE conferences, the members of the various SPEC working groups, and a desire to increase the involvement of the local scientific community with ICPE.It is our pleasure to welcome you to the 15th ACM/SPEC International Conference on Performance Engineering (ICPE), hosted at South Kensington, London, UK, from May 7-11, 2024. ICPE is the leading international forum for presenting and discussing novel ideas, innovations, trends and experiences in the field of performance engineering.ICPE formed from merging the ACM Workshop on Software Performance (WOSP, since 1998) and the SPEC International Performance Engineering Workshop (SIPEW, since 2008). Despite the peculiar time we are all living in around the world, we are pleased to introduce an exciting program, which is the result of hard work by the authors, the program committee, and the conference organizers.","Anos de planejamento foram gastos na preparação para o ICPE 2024 em Londres, Reino Unido. Pela primeira vez no Reino Unido, a organização do ICPE gerou um grande entusiasmo e expectativa de interações produtivas entre os participantes habituais das conferências do ICPE, os membros dos vários grupos de trabalho do SPEC, e um desejo de aumentar o envolvimento da comunidade científica local com o ICPE. Temos o prazer de recebê-lo na 15ª Conferência Internacional ACM/SPEC sobre Engenharia de Desempenho (ICPE), sediada em South Kensington, Londres, Reino Unido, de 7 a 11 de maio de 2024. ICPE é o principal fórum internacional para apresentação e discussão de novas ideias, inovações, tendências e experiências na área de engenharia de desempenho. O ICPE foi formado a partir da fusão do ACM Workshop on Software Performance (WOSP, desde 1998) e do SPEC International Performance Engineering Workshop (SIPEW, desde 2008). Apesar do momento peculiar que vivemos em todo o mundo, temos o prazer de apresentar um programa emocionante, que é o resultado do trabalho árduo dos autores, do comitê do programa e dos organizadores da conferência."
Developer-related factors in change prediction: an empirical assessment,Fatores relacionados ao desenvolvedor na previsão de mudanças: uma avaliação empírica,"Catolino, Gemma and Palomba, Fabio and De Lucia, Andrea and Ferrucci, Filomena and Zaidman, Andy","Predicting the areas of the source code having a higher likelihood to change in the future is a crucial activity to allow developers to plan preventive maintenance operations such as refactoring or peer-code reviews. In the past the research community was active in devising change prediction models based on structural metrics extracted from the source code. More recently, Elish et al. showed how evolution metrics can be more efficient for predicting change-prone classes. In this paper, we aim at making a further step ahead by investigating the role of different developer-related factors, which are able to capture the complexity of the development process under different perspectives, in the context of change prediction. We also compared such models with existing change-prediction models based on evolution and code metrics. Our findings reveal the capabilities of developer-based metrics in identifying classes of a software system more likely to be changed in the future. Moreover, we observed interesting complementarities among the experimented prediction models, that may possibly lead to the definition of new combined models exploiting developer-related factors as well as product and evolution metrics.","Prever as áreas do código-fonte com maior probabilidade de mudar no futuro é uma atividade crucial para permitir que os desenvolvedores planejem operações de manutenção preventiva, como refatoração ou revisões de código por pares. No passado, a comunidade de investigação esteve activa na concepção de modelos de previsão de mudanças baseados em métricas estruturais extraídas do código-fonte. Mais recentemente, Elish et al. mostrou como as métricas de evolução podem ser mais eficientes para prever classes propensas a mudanças. Neste artigo, pretendemos dar mais um passo à frente, investigando o papel de diferentes fatores relacionados ao desenvolvedor, que são capazes de capturar a complexidade do processo de desenvolvimento sob diferentes perspectivas, no contexto da previsão de mudanças. Também comparamos esses modelos com modelos existentes de previsão de mudanças baseados em evolução e métricas de código. Nossas descobertas revelam as capacidades das métricas baseadas no desenvolvedor na identificação de classes de um sistema de software com maior probabilidade de serem alteradas no futuro. Além disso, observamos complementaridades interessantes entre os modelos de previsão experimentados, que possivelmente podem levar à definição de novos modelos combinados explorando fatores relacionados ao desenvolvedor, bem como métricas de produto e evolução."
E-Debitum: managing software energy debt,E-Debitum: gestão da dívida energética de software,"Maia, Daniel and Couto, Marco and Saraiva, Jo\~{a}o and Pereira, Rui","This paper extends previous work on the concept of a new software energy metric: Energy Debt. This metric is a reflection on the implied cost, in terms of energy consumption over time, of choosing an energy flawed software implementation over a more robust and efficient, yet time consuming, approach.This paper presents the implementation a SonarQube tool called E-Debitum which calculates the energy debt of Android applications throughout their versions. This plugin uses a robust, well defined, and extendable smell catalog based on current green software literature, with each smell defining the potential energy savings. To conclude, an experimental validation of E-Debitum was executed on 3 popular Android applications with various releases, showing how their energy debt fluctuated throughout releases.","Este artigo amplia trabalhos anteriores sobre o conceito de uma nova métrica energética de software: Dívida Energética. Esta métrica é uma reflexão sobre o custo implícito, em termos de consumo de energia ao longo do tempo, da escolha de uma implementação de software com falhas energéticas em vez de uma abordagem mais robusta e eficiente, mas demorada. Este artigo apresenta a implementação de uma ferramenta SonarQube chamada E-Debitum que calcula a dívida energética de aplicações Android ao longo das suas versões. Este plugin usa um catálogo de cheiros robusto, bem definido e extensível baseado na literatura atual de software verde, com cada cheiro definindo o potencial de economia de energia. Para concluir, uma validação experimental do E-Debitum foi executada em 3 aplicativos Android populares com vários lançamentos, mostrando como sua dívida energética flutuou ao longo dos lançamentos."
SBQS '24: Proceedings of the XXIII Brazilian Symposium on Software Quality,SBQS '24: Anais do XXIII Simpósio Brasileiro de Qualidade de Software,,,#VALUE!
Simulating Software Evolution to Evaluate the Reliability of Early Decision-making among Design Alternatives toward Maintainability,Simulando a evolução do software para avaliar a confiabilidade da tomada de decisão inicial entre alternativas de design em direção à manutenção,"Karanikolas, Chris and Dimitroulakos, Grigoris and Masselos, Konstantinos","Critical decisions among design altern seventh atives with regards to maintainability arise early in the software design cycle. Existing comparison models relayed on the structural evolution of the used design patterns are suitable to support such decisions. However, their effectiveness on predicting maintenance effort is usually verified on a limited number of case studies under heterogeneous metrics. In this article, a multi-variable simulation model for validating the decision-making reliability of the derived formal comparison models for the significant designing problem of recursive hierarchies of part-whole aggregations, proposed in our prior work, is introduced. In the absence of a strict validation, the simulation model has been thoroughly calibrated concerning its decision-making precision based on empirical distributions from time-series analysis, approximating the highly uncertain nature of actual maintenance process. The decision reliability of the formal models has been statistically validated on a sample of 1,000 instances of design attributes representing the entire design space of the problem. Despite the limited accuracy of measurements, the results show that the models demonstrate an increasing reliability in a long-term perspective, even under assumptions of high variability. Thus, the modeling theory discussed in our prior work delivers reliable models that significantly reduce decision-risk and relevant maintenance cost.","Decisões críticas entre alternativas de projeto com relação à manutenibilidade surgem no início do ciclo de projeto de software. Os modelos de comparação existentes baseados na evolução estrutural dos padrões de projeto utilizados são adequados para apoiar tais decisões. No entanto, a sua eficácia na previsão do esforço de manutenção é geralmente verificada num número limitado de estudos de caso sob métricas heterogéneas. Neste artigo, é apresentado um modelo de simulação multivariável para validar a confiabilidade da tomada de decisão dos modelos de comparação formal derivados para o problema de projeto significativo de hierarquias recursivas de agregações parte-todo, proposto em nosso trabalho anterior. Na ausência de uma validação rigorosa, o modelo de simulação foi minuciosamente calibrado quanto à sua precisão de tomada de decisão com base em distribuições empíricas de análises de séries temporais, aproximando-se da natureza altamente incerta do processo de manutenção real. A confiabilidade da decisão dos modelos formais foi validada estatisticamente em uma amostra de 1.000 instâncias de atributos de projeto representando todo o espaço de projeto do problema. Apesar da precisão limitada das medições, os resultados mostram que os modelos demonstram uma fiabilidade crescente numa perspectiva de longo prazo, mesmo sob pressupostos de elevada variabilidade. Assim, a teoria de modelagem discutida em nosso trabalho anterior fornece modelos confiáveis ​​que reduzem significativamente o risco de decisão e os custos de manutenção relevantes."
Detecting higher-level similarity patterns in programs,Detectando padrões de similaridade de nível superior em programas,"Basit, Hamid Abdul and Jarzabek, Stan","Cloning in software systems is known to create problems during software maintenance. Several techniques have been proposed to detect the same or similar code fragments in software, so-called simple clones. While the knowledge of simple clones is useful, detecting design-level similarities in software could ease maintenance even further, and also help us identify reuse opportunities. We observed that recurring patterns of simple clones - so-called structural clones - often indicate the presence of interesting design-level similarities. An example would be patterns of collaborating classes or components. Finding structural clones that signify potentially useful design information requires efficient techniques to analyze the bulk of simple clone data and making non-trivial inferences based on the abstracted information. In this paper, we describe a practical solution to the problem of detecting some basic, but useful, types of design-level similarities such as groups of highly similar classes or files. First, we detect simple clones by applying conventional token-based techniques. Then we find the patterns of co-occurring clones in different files using the Frequent Itemset Mining (FIM) technique. Finally, we perform file clustering to detect those clusters of highly similar files that are likely to contribute to a design-level similarity pattern. The novelty of our approach is application of data mining techniques to detect design level similarities. Experiments confirmed that our method finds many useful structural clones and scales up to big programs. The paper describes our method for structural clone detection, a prototype tool called Clone Miner that implements the method and experimental results.","Sabe-se que a clonagem em sistemas de software cria problemas durante a manutenção de software. Várias técnicas foram propostas para detectar fragmentos de código iguais ou semelhantes em software, os chamados clones simples. Embora o conhecimento de clones simples seja útil, a detecção de semelhanças em nível de design no software pode facilitar ainda mais a manutenção e também nos ajudar a identificar oportunidades de reutilização. Observamos que padrões recorrentes de clones simples - os chamados clones estruturais - geralmente indicam a presença de semelhanças interessantes em nível de design. Um exemplo seriam padrões de classes ou componentes colaborativos. Encontrar clones estruturais que signifiquem informações de projeto potencialmente úteis requer técnicas eficientes para analisar a maior parte dos dados de clones simples e fazer inferências não triviais com base nas informações abstraídas. Neste artigo, descrevemos uma solução prática para o problema de detecção de alguns tipos básicos, mas úteis, de semelhanças em nível de design, como grupos de classes ou arquivos altamente semelhantes. Primeiro, detectamos clones simples aplicando técnicas convencionais baseadas em tokens. Em seguida, encontramos os padrões de clones co-ocorrentes em diferentes arquivos usando a técnica Frequent Itemset Mining (FIM). Finalmente, realizamos clustering de arquivos para detectar aqueles clusters de arquivos altamente semelhantes que provavelmente contribuirão para um padrão de similaridade em nível de design. A novidade da nossa abordagem é a aplicação de técnicas de mineração de dados para detectar semelhanças em nível de projeto. Experimentos confirmaram que nosso método encontra muitos clones estruturais úteis e pode ser ampliado para grandes programas. O artigo descreve nosso método para detecção de clones estruturais, uma ferramenta protótipo chamada Clone Miner que implementa o método e resultados experimentais."
An empirical investigation into the nature of test smells,Uma investigação empírica sobre a natureza dos cheiros de teste,"Tufano, Michele and Palomba, Fabio and Bavota, Gabriele and Di Penta, Massimiliano and Oliveto, Rocco and De Lucia, Andrea and Poshyvanyk, Denys","Test smells have been defined as poorly designed tests and, as reported by recent empirical studies, their presence may negatively affect comprehension and maintenance of test suites. Despite this, there are no available automated tools to support identification and repair of test smells. In this paper, we firstly investigate developers' perception of test smells in a study with 19 participants. The results show that developers generally do not recognize (potentially harmful) test smells, highlighting that automated tools for identifying such smells are much needed. However, to build effective tools, deeper insights into the test smells phenomenon are required. To this aim, we conducted a large-scale empirical investigation aimed at analyzing (i) when test smells occur in source code, (ii) what their survivability is, and (iii) whether their presence is associated with the presence of design problems in production code (code smells). The results indicate that test smells are usually introduced when the corresponding test code is committed in the repository for the first time, and they tend to remain in a system for a long time. Moreover, we found various unexpected relationships between test and code smells. Finally, we show how the results of this study can be used to build effective automated tools for test smell detection and refactoring.","Os cheiros de teste foram definidos como testes mal elaborados e, conforme relatado por estudos empíricos recentes, sua presença pode afetar negativamente a compreensão e a manutenção dos conjuntos de testes. Apesar disso, não existem ferramentas automatizadas disponíveis para apoiar a identificação e reparação de odores de teste. Neste artigo, investigamos primeiramente a percepção dos desenvolvedores sobre cheiros de teste em um estudo com 19 participantes. Os resultados mostram que os desenvolvedores geralmente não reconhecem cheiros de teste (potencialmente prejudiciais), destacando que ferramentas automatizadas para identificar tais cheiros são muito necessárias. No entanto, para construir ferramentas eficazes, são necessários insights mais profundos sobre o fenômeno dos cheiros de teste. Para tanto, conduzimos uma investigação empírica em larga escala com o objetivo de analisar (i) quando ocorrem cheiros de teste no código-fonte, (ii) qual é sua capacidade de sobrevivência e (iii) se sua presença está associada à presença de problemas de design no código de produção (cheiros de código). Os resultados indicam que os cheiros de teste geralmente são introduzidos quando o código de teste correspondente é confirmado no repositório pela primeira vez e tendem a permanecer no sistema por um longo tempo. Além disso, encontramos várias relações inesperadas entre testes e cheiros de código. Finalmente, mostramos como os resultados deste estudo podem ser usados ​​para construir ferramentas automatizadas eficazes para testar detecção e refatoração de cheiros."
ICSE-NIER '23: Proceedings of the 45th International Conference on Software Engineering: New Ideas and Emerging Results,ICSE-NIER '23: Anais da 45ª Conferência Internacional sobre Engenharia de Software: Novas Ideias e Resultados Emergentes,,"ICSE is the leading and by far the largest conference in Software Engineering, attracting researchers, practitioners and students from around the world. ICSE2023 is co-located with 10 conferences and symposia this year, many long-established and prestigious venues in their own right.","ICSE é a principal e de longe a maior conferência em Engenharia de Software, atraindo pesquisadores, profissionais e estudantes de todo o mundo. ICSE2023 está co-localizado com 10 conferências e simpósios este ano, muitos locais de prestígio e de longa data por direito próprio."
SAC '23: Proceedings of the 38th ACM/SIGAPP Symposium on Applied Computing,SAC '23: Anais do 38º Simpósio ACM/SIGAPP de Computação Aplicada,,,#VALUE!
Proactive Runtime Detection of Aging-Related Silent Data Corruptions: A Bottom-Up Approach,Detecção proativa em tempo de execução de corrupção silenciosa de dados relacionada ao envelhecimento: uma abordagem de baixo para cima,"Ma, Jiacheng and Ganaiem, Majd and Burbage, Madeline and Gregersen, Theo and McAmis, Rachel and Gabbay, Freddy and Kasikci, Baris","Recent advancements in semiconductor process technologies have unveiled the susceptibility of hardware circuits to reliability issues, especially those related to transistor aging. Transistor aging gradually degrades gate performance, eventually causing hardware to behave incorrectly. Such misbehaving hardware can result in silent data corruptions (SDCs) in software---a type of failure that comes without logs or exceptions, but causes miscomputing instructions, bitflips, and broken cache coherency. Alas, while design efforts can be made to mitigate transistor aging, complete elimination of this problem during design and fabrication cannot be guaranteed. This emerging challenge calls for a mechanism that not only detects potentially aged hardware in the field, but also triggers software mitigations at application runtime.We propose Vega, a novel workflow that allows efficient detection of aging-related failures at software runtime. Vega leverages the well-studied gate-level modeling of aging effects to identify susceptible signal propagation paths that could fail due to transistor aging. It then utilizes formal verification techniques to generate short test cases that activate these paths and detect any failure within them. Vega integrates the test cases into a user application by directly fusing them together, or by packaging the test cases into a library that the application can invoke. We demonstrate our proposed techniques on the arithmetic logic unit and floating-point unit of a RISC-V CPU. We show that Vega generates effective test cases and integrates them into applications with an average of 0.8% performance overhead.","Avanços recentes nas tecnologias de processo de semicondutores revelaram a suscetibilidade dos circuitos de hardware a problemas de confiabilidade, especialmente aqueles relacionados ao envelhecimento dos transistores. O envelhecimento do transistor degrada gradualmente o desempenho do portão, eventualmente fazendo com que o hardware se comporte incorretamente. Esse mau comportamento de hardware pode resultar em corrupções silenciosas de dados (SDCs) no software – um tipo de falha que ocorre sem logs ou exceções, mas causa instruções incorretas, bitflips e quebra de coerência do cache. Infelizmente, embora possam ser feitos esforços de projeto para mitigar o envelhecimento do transistor, a eliminação completa desse problema durante o projeto e a fabricação não pode ser garantida. Este desafio emergente exige um mecanismo que não apenas detecte hardware potencialmente antigo em campo, mas também acione mitigações de software no tempo de execução do aplicativo. Propomos o Vega, um novo fluxo de trabalho que permite a detecção eficiente de falhas relacionadas ao envelhecimento no tempo de execução do software. Vega aproveita a bem estudada modelagem em nível de porta dos efeitos do envelhecimento para identificar caminhos de propagação de sinal suscetíveis que podem falhar devido ao envelhecimento do transistor. Em seguida, utiliza técnicas formais de verificação para gerar casos de teste curtos que ativam esses caminhos e detectam qualquer falha neles. Vega integra os casos de teste em um aplicativo de usuário, fundindo-os diretamente ou empacotando os casos de teste em uma biblioteca que o aplicativo pode invocar. Demonstramos nossas técnicas propostas na unidade lógica aritmética e na unidade de ponto flutuante de uma CPU RISC-V. Mostramos que Vega gera casos de teste eficazes e os integra em aplicações com uma média de sobrecarga de desempenho de 0,8%."
An empirical examination of the relationship between code smells and merge conflicts,Um exame empírico da relação entre cheiros de código e conflitos de mesclagem,"Ahmed, Iftekhar and Brindescu, Caius and Mannan, Umme Ayda and Jensen, Carlos and Sarma, Anita","Background: Merge conflicts are a common occurrence in software development. Researchers have shown the negative impact of conflicts on the resulting code quality and the development workflow. Thus far, no one has investigated the effect of bad design (code smells) on merge conflicts. Aims: We posit that entities that exhibit certain types of code smells are more likely to be involved in a merge conflict. We also postulate that code elements that are both ""smelly"" and involved in a merge conflict are associated with other undesirable effects (more likely to be buggy). Method: We mined 143 repositories from GitHub and recreated 6,979 merge conflicts to obtain metrics about code changes and conflicts. We categorized conflicts into semantic or non-semantic, based on whether changes affected the Abstract Syntax Tree. For each conflicting change, we calculate the number of code smells and the number of future bug-fixes associated with the affected lines of code. Results: We found that entities that are smelly are three times more likely to be involved in merge conflicts. Method-level code smells (Blob Operation and Internal Duplication) are highly correlated with semantic conflicts. We also found that code that is smelly and experiences merge conflicts is more likely to be buggy. Conclusion: Bad code design not only impacts maintainability, it also impacts the day to day operations of a project, such as merging contributions, and negatively impacts the quality of the resulting code. Our findings indicate that research is needed to identify better ways to support merge conflict resolution to minimize its effect on code quality.","Antecedentes: Conflitos de mesclagem são uma ocorrência comum no desenvolvimento de software. Os pesquisadores mostraram o impacto negativo dos conflitos na qualidade do código resultante e no fluxo de trabalho de desenvolvimento. Até agora, ninguém investigou o efeito de um design ruim (cheiros de código) em conflitos de mesclagem. Objetivos: Postulamos que entidades que exibem certos tipos de cheiros de código têm maior probabilidade de se envolver em um conflito de mesclagem. Também postulamos que os elementos de código que são ""fedorentos"" e envolvidos em um conflito de mesclagem estão associados a outros efeitos indesejáveis ​​(com maior probabilidade de apresentar erros). Método: extraímos 143 repositórios do GitHub e recriamos 6.979 conflitos de mesclagem para obter métricas sobre alterações e conflitos de código. Categorizamos os conflitos em semânticos ou não semânticos, com base no fato de as alterações afetarem a árvore de sintaxe abstrata. Para cada alteração conflitante, calculamos o número de cheiros de código e o número de futuras correções de bugs associadas às linhas de código afetadas. Resultados: Descobrimos que entidades malcheirosas têm três vezes mais probabilidade de se envolverem em conflitos de fusão. Os cheiros de código em nível de método (operação de blob e duplicação interna) estão altamente correlacionados com conflitos semânticos. Também descobrimos que o código que cheira mal e apresenta conflitos de mesclagem tem maior probabilidade de apresentar erros. Conclusão: O design incorreto do código não afeta apenas a capacidade de manutenção, mas também as operações diárias de um projeto, como a fusão de contribuições, e impacta negativamente a qualidade do código resultante. Nossas descobertas indicam que são necessárias pesquisas para identificar melhores maneiras de apoiar a resolução de conflitos de mesclagem para minimizar seu efeito na qualidade do código."
From run-time behavior to usage scenarios: an interaction-pattern mining approach,Do comportamento em tempo de execução aos cenários de uso: uma abordagem de mineração de padrões de interação,"El-Ramly, Mohammad and Stroulia, Eleni and Sorenson, Paul","A key challenge facing IT organizations today is their evolution towards adopting e-business practices that gives rise to the need for reengineering their underlying software systems. Any reengineering effort has to be aware of the functional requirements of the subject system, in order not to violate the integrity of its intended uses. However, as software systems get regularly maintained throughout their lifecycle, the documentation of their requirements often become obsolete or get lost. To address this problem of ""software requirements loss"", we have developed an interaction-pattern mining method for the recovery of functional requirements as usage scenarios. Our method analyzes traces of the run-time system-user interaction to discover frequently recurring patterns; these patterns correspond to the functionality currently exercised by the system users, represented as usage scenarios. The discovered scenarios provide the basis for reengineering the software system into web-accessible components, each one supporting one of the discovered scenarios. In this paper, we describe IPM2, our interaction-pattern discovery algorithm, we illustrate it with a case study from a real application and we give an overview of the reengineering process in the context of which it is employed.","Um dos principais desafios que as organizações de TI enfrentam hoje é a sua evolução no sentido da adopção de práticas de e-business, o que dá origem à necessidade de reengenharia dos seus sistemas de software subjacentes. Qualquer esforço de reengenharia deve estar ciente dos requisitos funcionais do sistema em questão, a fim de não violar a integridade dos usos pretendidos. No entanto, à medida que os sistemas de software são mantidos regularmente ao longo do seu ciclo de vida, a documentação dos seus requisitos muitas vezes torna-se obsoleta ou perde-se. Para resolver este problema de “perda de requisitos de software”, desenvolvemos um método de mineração de padrões de interação para a recuperação de requisitos funcionais como cenários de uso. Nosso método analisa traços da interação sistema-usuário em tempo de execução para descobrir padrões recorrentes com frequência; esses padrões correspondem às funcionalidades atualmente exercidas pelos usuários do sistema, representadas como cenários de utilização. Os cenários descobertos fornecem a base para a reengenharia do sistema de software em componentes acessíveis pela web, cada um suportando um dos cenários descobertos. Neste artigo, descrevemos o IPM2, nosso algoritmo de descoberta de padrões de interação, ilustramos-o com um estudo de caso de uma aplicação real e damos uma visão geral do processo de reengenharia no contexto em que ele é empregado."
Managing Data and Artifacts between Software Engineers and Artists: an ISSv2 Case Study,Gerenciando dados e artefatos entre engenheiros de software e artistas: um estudo de caso ISSv2,"Mokhov, Serguei A. and Song, Miao and Kaur, Amandeep and Talwar, Mehak and Gudavalli, Keerthana and Mudur, Sudhir P.","We describe our experience of managing different types of artifacts between multidisciplinary teams of computer scientists and software engineers with computation and design artists while designing, developing, and deploying Illimitable Space System v2 (ISSv2) in real production environments. The artifacts include design documentation, source code, hardware and production equipment inventory, stage data, SCM and issue tracking data, git repository, and multimedia assets. These types of projects are challenging due to the nature of interdisciplinary teams and their working habits. We show how we manage the data and the teams to have enable successful public productions.","Descrevemos nossa experiência no gerenciamento de diferentes tipos de artefatos entre equipes multidisciplinares de cientistas da computação e engenheiros de software com artistas de computação e design enquanto projetamos, desenvolvemos e implantamos o Illimitable Space System v2 (ISSv2) em ambientes reais de produção. Os artefatos incluem documentação de design, código-fonte, inventário de hardware e equipamentos de produção, dados de estágio, SCM e dados de rastreamento de problemas, repositório git e ativos multimídia. Esses tipos de projetos são desafiadores devido à natureza das equipes interdisciplinares e aos seus hábitos de trabalho. Mostramos como gerenciamos os dados e as equipes para possibilitar produções públicas de sucesso."
A method for detecting faulty code violating implicit coding rules,Um método para detectar código defeituoso que viola regras de codificação implícitas,"Matsumura, Tomoko and Monden, Akito and Matsumoto, Ken-ichi","In the field of legacy software maintenance, there unexpectedly arise a large number of implicit coding rules --- which are seldom written down in specification documents or design documents --- as software becomes more complicated than it used be. Since not all the members in a maintenance team realize each of implicit coding rules, a maintainer who is not aware of a rule often violates the rule while doing various maintenance activities such as adding new functionality and repairing faults. The problem here is not only such a violation causes injection of a new fault into software but also this violation will be repeated again and again in the future by different maintainers. Indeed, we found that 32.7% of faults of certain legacy software were due to such violations.This paper proposes a method for detecting code fragments that violate implicit coding rules. In the method, an expert maintainer firstly investigates the causes, situations, and code fragments of each fault described in bug reports; and, identifies implicit coding rules as much as possible. Then, code patterns violating the rules (which we call bug code patterns) are described in a pattern description language. Finally, potential faulty code fragments are extracted by a pattern matching technique.","No campo da manutenção de software legado, surge inesperadamente um grande número de regras de codificação implícitas – que raramente são escritas em documentos de especificação ou de design – à medida que o software se torna mais complicado do que costumava ser. Como nem todos os membros de uma equipe de manutenção percebem cada uma das regras de codificação implícitas, um mantenedor que não tem conhecimento de uma regra frequentemente viola a regra ao realizar diversas atividades de manutenção, como adicionar novas funcionalidades e reparar falhas. O problema aqui não é apenas que tal violação causa a injeção de uma nova falha no software, mas também que essa violação será repetida continuamente no futuro por diferentes mantenedores. Na verdade, descobrimos que 32,7% das falhas de determinados softwares legados foram devidas a tais violações. Este artigo propõe um método para detectar fragmentos de código que violam regras de codificação implícitas. No método, um mantenedor especialista investiga primeiro as causas, situações e fragmentos de código de cada falha descrita nos relatórios de bugs; e identifica regras de codificação implícitas tanto quanto possível. Então, os padrões de código que violam as regras (que chamamos de padrões de código de bug) são descritos em uma linguagem de descrição de padrões. Finalmente, potenciais fragmentos de código defeituosos são extraídos por uma técnica de correspondência de padrões."
ICCBDC '22: Proceedings of the 2022 6th International Conference on Cloud and Big Data Computing,ICCBDC '22: Anais da 6ª Conferência Internacional sobre Computação em Nuvem e Big Data de 2022,,,#VALUE!
Detecting missing method calls as violations of the majority rule,Detectando chamadas de método ausentes como violações da regra da maioria,"Monperrus, Martin and Mezini, Mira","When using object-oriented frameworks it is easy to overlook certain important method calls that are required at particular places in code. In this article, we provide a comprehensive set of empirical facts on this problem, starting from traces of missing method calls in a bug repository. We propose a new system that searches for missing method calls in software based on the other method calls that are observable. Our key insight is that the voting theory concept of majority rule holds for method calls: a call is likely to be missing if there is a majority of similar pieces of code where this call is present. The evaluation shows that the system predictions go further missing method calls and often reveal different kinds of code smells (e.g., violations of API best practices).","Ao usar estruturas orientadas a objetos, é fácil ignorar certas chamadas de métodos importantes que são necessárias em locais específicos do código. Neste artigo, fornecemos um conjunto abrangente de fatos empíricos sobre esse problema, começando com rastros de chamadas de métodos ausentes em um repositório de bugs. Propomos um novo sistema que procura chamadas de métodos ausentes em software com base em outras chamadas de métodos observáveis. Nosso principal insight é que o conceito da teoria da votação de regra da maioria é válido para chamadas de método: é provável que uma chamada esteja faltando se houver uma maioria de trechos de código semelhantes onde essa chamada estiver presente. A avaliação mostra que as previsões do sistema vão além das chamadas de método e muitas vezes revelam diferentes tipos de cheiros de código (por exemplo, violações das práticas recomendadas da API)."
ICSE-Companion '24: Proceedings of the 2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings,ICSE-Companion '24: Procedimentos da 46ª Conferência Internacional IEEE/ACM 2024 sobre Engenharia de Software: Procedimentos Complementares,,"ICSE is the leading and, by far, the largest conference in Software Engineering, attracting researchers, practitioners, and students worldwide. ICSE2024 is co-located with 11 conferences and symposia this year, many long-established and prestigious venues in their own right.","ICSE é a principal e, de longe, a maior conferência em Engenharia de Software, atraindo pesquisadores, profissionais e estudantes de todo o mundo. ICSE2024 está co-localizado com 11 conferências e simpósios este ano, muitos locais de prestígio e de longa data por direito próprio."
